Unnamed: 0,nomeRestaurante,curtidas,rating,dataVisita,dataPublicacao,comentario,titulo,IDUsuarioFK,annotations
157694,Coco Bambu - Dom Pastel,0,5,2018-6-1,2018-6-29,"Sempre bom estar de volta ao Dom Pastel, comida espetacular e atendimento excelente pelo Eduardo e Jonceliano!",Dom pastel sempre bom!!!,barbaradtv,"('Sempre bom estar de volta ao Dom Pastel, comida espetacular e atendimento excelente pelo Eduardo e Jonceliano!', {'entities': [(29, 39, 'GERAL'), (41, 47, 'COMIDA'), (62, 73, 'SERVIÇO'), (89, 96, 'SERVIÇO'), (99, 109, 'SERVIÇO')]})"
174217,Coco Bambu Frutos do Mar,1,5,2020-3-1,2020-3-5,"Lugar agradável, pratos muito bem servidos, muito saborosos! Drinks deliciosos e ainda tem parquinho para as crianças. Recomendo!",Ótimo restaurante!,RafaelPcantal,"('Lugar agradável, pratos muito bem servidos, muito saborosos! Drinks deliciosos e ainda tem parquinho para as crianças. Recomendo!', {'entities': [(91, 117, 'AMBIENTE'), (0, 5, 'GERAL'), (17, 23, 'COMIDA'), (61, 67, 'BEBIDA')]})"
103876,Coco Bambu Lago Sul,0,5,2014-8-1,2014-12-23,"Um excelente lugar para conhecer, com uma bela vista do lago sul. Uma refeição maravilhosa, com atendimento de primeira. Comemos frutos do mar, deliciosos. Uma caipirinha de coco incrível. Vale a pena cada centavo. Achamos complicado chegar no restaurante, mesmo com GPS, e também um...Mais",Comida e Atendimento de Primeira,denerdidone,"('Um excelente lugar para conhecer, com uma bela vista do lago sul. Uma refeição maravilhosa, com atendimento de primeira. Comemos frutos do mar, deliciosos. Uma caipirinha de coco incrível. Vale a pena cada centavo. Achamos complicado chegar no restaurante, mesmo com GPS, e também um...Mais', {'entities': [(47, 52, 'AMBIENTE'), (13, 18, 'GERAL'), (244, 255, 'GERAL'), (70, 78, 'COMIDA'), (129, 142, 'COMIDA'), (160, 178, 'BEBIDA'), (96, 107, 'SERVIÇO'), (201, 213, 'PREÇO')]})"
125428,Coco Bambu JK,0,5,2021-6-1,2021-6-28,"Comida, ambiente e atendimento maravilhoso. Aproveitamos a visita de amigos para conhecer e foi uma ótima experiência.",Recomendado,marianad436,"('Comida, ambiente e atendimento maravilhoso. Aproveitamos a visita de amigos para conhecer e foi uma ótima experiência.', {'entities': [(8, 16, 'AMBIENTE'), (0, 6, 'COMIDA'), (19, 30, 'SERVIÇO')]})"
72169,Coco Bambu Frutos do Mar,0,4,2014-12-1,2014-12-10,"Lugar enorme, com muito movimento, mesas externas, diferentes ambientes, ótimo. Os pratos são grandes, dá para 3 pessoas. Comida muito boa.","Bonito, Muito Bom!",Meibak,"('Lugar enorme, com muito movimento, mesas externas, diferentes ambientes, ótimo. Os pratos são grandes, dá para 3 pessoas. Comida muito boa.', {'entities': [(35, 40, 'AMBIENTE'), (62, 71, 'AMBIENTE'), (0, 5, 'GERAL'), (83, 89, 'COMIDA'), (122, 128, 'COMIDA')]})"
106452,Coco Bambu Anália Franco,0,5,2020-1-1,2020-1-19,"Todos foram muito atenciosos conosco!Viemos para comemorar o aniversário da nossa filha. Comida impecável,bebida gostosa e ambiente agradável! Charles nos tratou c alegria e empenho total!",Aniversário,899lilianf,"('Todos foram muito atenciosos conosco!Viemos para comemorar o aniversário da nossa filha. Comida impecável,bebida gostosa e ambiente agradável! Charles nos tratou c alegria e empenho total!', {'entities': [(123, 131, 'AMBIENTE'), (89, 95, 'COMIDA'), (106, 112, 'BEBIDA'), (143, 150, 'SERVIÇO')]})"
128032,Coco Bambu - Dom Pastel,0,5,2017-8-1,2017-8-5,Melhor camarão internacional da cidade... Atendimento de alta Qualidade! Indico para todos que queiram uma boa comida e cerveja!,Excelência em atendimento! ,Rodrigo F,"('Melhor camarão internacional da cidade... Atendimento de alta Qualidade! Indico para todos que queiram uma boa comida e cerveja!', {'entities': [(7, 28, 'COMIDA'), (111, 117, 'COMIDA'), (120, 127, 'BEBIDA'), (42, 53, 'SERVIÇO')]})"
8529,Coco Bambu Brasília Shopping,1,4,2018-9-1,2018-9-5,"Restaurante com boa opção de cardápio, tendo o camarão como carro chefe dos pratos. O serviço é bom, poderia ter pequenos ajustes. A carta de vinho é adequada, com variedade para acompanhar os diversos pratos.",Boa opção no shopping,Solange P,"('Restaurante com boa opção de cardápio, tendo o camarão como carro chefe dos pratos. O serviço é bom, poderia ter pequenos ajustes. A carta de vinho é adequada, com variedade para acompanhar os diversos pratos.', {'entities': [(0, 11, 'GERAL'), (29, 37, 'COMIDA'), (47, 54, 'COMIDA'), (76, 82, 'COMIDA'), (202, 208, 'COMIDA'), (133, 147, 'BEBIDA'), (86, 93, 'SERVIÇO')]})"
84501,Coco Bambu Ribeirao Preto,1,5,2019-10-1,2019-10-8,"Restaurante impecável e atendimento excepcional do Raynan. Com certeza voltaremos logo! Pedimos prato camarão de olinda por apenas 49,90.Mais",Jantar com namorada,tiagopinheiro97,"('Restaurante impecável e atendimento excepcional do Raynan. Com certeza voltaremos logo! Pedimos prato camarão de olinda por apenas 49,90.Mais', {'entities': [(0, 11, 'GERAL'), (96, 101, 'COMIDA'), (102, 119, 'COMIDA'), (24, 35, 'SERVIÇO'), (51, 57, 'SERVIÇO'), (120, 130, 'PREÇO')]})"
109345,Coco Bambu Lago Sul,0,5,2014-8-1,2015-3-25,"Ambiente agradável. Atendimento excelente. Os pratos não são baratos, mas valem cada centavo e são bem servidos. O meu prato preferido é a carne de sol do sertão, arroz de leite e carne desfiada. Delícia.",Recomendo,luisavaccani,"('Ambiente agradável. Atendimento excelente. Os pratos não são baratos, mas valem cada centavo e são bem servidos. O meu prato preferido é a carne de sol do sertão, arroz de leite e carne desfiada. Delícia.', {'entities': [(0, 8, 'AMBIENTE'), (46, 52, 'COMIDA'), (119, 124, 'COMIDA'), (139, 161, 'COMIDA'), (163, 177, 'COMIDA'), (180, 194, 'COMIDA'), (20, 31, 'SERVIÇO'), (61, 68, 'PREÇO'), (80, 92, 'PREÇO')]})"
