Unnamed: 0,nomeRestaurante,curtidas,rating,dataVisita,dataPublicacao,comentario,titulo,IDUsuarioFK,annotations,Unnamed: 0.1
43087.0,Coco Bambu Frutos do Mar,1,5,2019-6-1,2019-6-1,excelente localização  ambiente agradável  lagosta deliciosa  som ao vivo de bom gosto e atendimento excepcional do garçom evandro ,Jantar,963rodrigog,"('excelente localização    ambiente agradável    lagosta delicioso    som ao vivo de bom gosto e atendimento excepcional do garçom evandro', ['O', 'U-LOCALIZAÇÃO', 'U-AMBIENTE', 'O', 'U-COMIDA', 'O', 'B-AMBIENTE', 'I-AMBIENTE', 'L-AMBIENTE', 'O', 'O', 'O', 'O', 'U-SERVIÇO', 'O', 'O', 'B-SERVIÇO', 'L-SERVIÇO'])",0.0
83989.0,Coco Bambu Flamboyant,1,5,2014-9-1,2014-10-7,achei o atendimento um pouco contraditório  a meia noite colocaram música sonolenta para desocuparmos o ambiente mais rápido porém a conta demorou a chegar   vale muito a pena tomar a cerveja argentina quilmes  dificilmente encontrada na cidade  e o cardápio é maravilhoso com preço mais,Tudo muito bom!,Giselly A,"('achar o atendimento um pouco contraditório    o meia noite colocar música sonolento para desocupar o ambiente mais rápido porém o contar demorar a chegar     valer muito o pena tomar o cerveja argentino quilmes    dificilmente encontrar na cidade    e o cardápio ser maravilhoso com preço mais', ['O', 'O', 'U-SERVIÇO', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-AMBIENTE', 'O', 'O', 'O', 'O', 'U-AMBIENTE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-BEBIDA', 'I-BEBIDA', 'L-BEBIDA', 'O', 'O', 'O', 'O', 'O', 'O', 'U-COMIDA', 'O', 'O', 'O', 'U-PREÇO', 'O'])",1.0
91223.0,Coco Bambu Santo André,2,5,2019-1-1,2019-1-22,estivemos no coco bambu dia 21 01 2019 para comemorar nossas bodas de algodão e não podia ser mais perfeito  agradecer aos colaboradores  em especial ao mauro e felipe pela delicadeza e tanta atenção aos detalhes  jantar maravilhoso  pedimos salmão com crosta de gergelim  mas o coadjuvante mais,Noite inesquecível!,elisvarini,"('estivemos no coco bambu dia 21 01 2019 para comemorar nosso boda de algodão e não poder ser mais perfeito    agradecer aos colaborador    em especial ao mauro e felipe pela delicadeza e tanto atenção aos detalhe    jantar maravilhoso    pedimos salmão com crosta de gergelim    mas o coadjuvante mais', ['O', 'O', 'B-GERAL', 'L-GERAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-SERVIÇO', 'O', 'U-SERVIÇO', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-COMIDA', 'I-COMIDA', 'I-COMIDA', 'I-COMIDA', 'L-COMIDA', 'O', 'O', 'O', 'O'])",2.0
12765.0,Coco Bambu Brasília Shopping,0,5,2018-6-1,2018-6-7,excelente comida a atendimento do garçom jarbas  fomos no happy hour e adoramos  recomendamos a todos a cocada de forno com sorvete ,Jantar,Jorge G,"('excelente comida a atendimento do garçom jarbas    ser no happy hour e adorar    recomendar a todo o cocada de forno com sorvete', ['O', 'U-COMIDA', 'O', 'U-SERVIÇO', 'O', 'B-SERVIÇO', 'L-SERVIÇO', 'O', 'O', 'B-BEBIDA', 'L-BEBIDA', 'O', 'O', 'O', 'O', 'O', 'O', 'B-COMIDA', 'I-COMIDA', 'I-COMIDA', 'I-COMIDA', 'L-COMIDA'])",3.0
52278.0,Coco Bambu SP Market,0,5,2019-7-1,2019-9-3,a comida do coco bambu é sempre sensacional  comentários completamente desnecessários  o atendimento é excelente  obrigado amigos ,Como a nossa casa,Mario I,"('o comida do coco bambu ser sempre sensacional    comentário completamente desnecessário    o atendimento ser excelente    obrigado amigo', ['O', 'U-COMIDA', 'O', 'B-GERAL', 'L-GERAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-SERVIÇO', 'O', 'O', 'O', 'O'])",4.0
41158.0,Coco Bambu Sul Restaurante,0,5,2018-10-1,2018-10-13,empada de queijo do reino excelente  atendimento diferenciado pelo gerente maciel   música hoje estava bem legal ,Jantar semanal,Lia M,"('empar de queijo do reino excelente    atendimento diferenciar pelo gerente maciel     música hoje estar bem legal', ['B-COMIDA', 'I-COMIDA', 'I-COMIDA', 'I-COMIDA', 'L-COMIDA', 'O', 'U-SERVIÇO', 'O', 'O', 'B-SERVIÇO', 'L-SERVIÇO', 'U-AMBIENTE', 'O', 'O', 'O', 'O'])",5.0
73328.0,Coco Bambu Bahia,0,5,2022-5-1,2022-5-29,o garçom luan é super atencioso  simpático e solicito  parabéns pelo atendimento     a comida também estava ótima  ,Ótimo atendimento,379marcosantonioc,"('o garçom luan ser super atencioso    simpático e solicitar    parabéns pelo atendimento       o comida também estar ótima  ', ['O', 'B-SERVIÇO', 'L-SERVIÇO', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-SERVIÇO', 'O', 'U-COMIDA', 'O', 'O', 'O'])",6.0
89519.0,Coco Bambu Frutos do Mar,0,5,2017-2-1,2017-2-22,restaurante com um dos melhores cardápios de frutos do mar do brasil  atendimento eficiente  boa carta de bebidas e custo benefício excelente  imperdível,A vista mas bela para uma bela refeição,Alaôr B,"('restaurante com um dos bom cardápio de fruto do mar do brasil    atendimento eficiente    bom carta de bebida e custo benefício excelente    imperdível', ['U-GERAL', 'O', 'O', 'O', 'O', 'B-COMIDA', 'I-COMIDA', 'I-COMIDA', 'I-COMIDA', 'L-COMIDA', 'O', 'O', 'U-SERVIÇO', 'O', 'O', 'B-BEBIDA', 'I-BEBIDA', 'L-BEBIDA', 'O', 'B-PREÇO', 'L-PREÇO', 'O', 'O'])",7.0
77892.0,Coco Bambu Market Place,1,4,2017-11-1,2017-11-25,já havia visitado duas vezes o cb do bairro anália franco e gostei do local  agora  no morumbi  fui tirar a prova para ver se a rede mantém a qualidade de seus negócios  o resultado foi positivo  ótimo ambiente  atendimento simpático e atencioso  preços equilibrados mais,Tudo de Bom!!!,ferrazmartins,"('já haver visitar dois vez o cb do bairro anália franco e gostar do local    agora    no morumbi    ser tirar o prova para ver se o rede manter o qualidade de seu negócio    o resultado ser positivo    bom ambiente    atendimento simpático e atencioso    preço equilibrar mais', ['O', 'O', 'O', 'O', 'O', 'O', 'U-GERAL', 'O', 'B-LOCALIZAÇÃO', 'I-LOCALIZAÇÃO', 'L-LOCALIZAÇÃO', 'O', 'O', 'O', 'O', 'O', 'O', 'U-LOCALIZAÇÃO', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-AMBIENTE', 'U-SERVIÇO', 'O', 'O', 'O', 'U-PREÇO', 'O', 'O'])",8.0
56021.0,Coco Bambu Brasília Shopping,0,4,2016-8-1,2016-9-29,restaurante sofisticado com grande variedade de peixes e frutos do mar  o atendimento é excelente  preço alto ,grande variedade de frutos do mar,Ilde S,"('restaurante sofisticar com grande variedade de peixe e fruto do mar    o atendimento ser excelente    preço alto', ['U-GERAL', 'O', 'O', 'O', 'O', 'O', 'U-COMIDA', 'O', 'B-COMIDA', 'I-COMIDA', 'L-COMIDA', 'O', 'U-SERVIÇO', 'O', 'O', 'U-PREÇO', 'O'])",9.0
