Unnamed: 0,nomeRestaurante,curtidas,rating,dataVisita,dataPublicacao,comentario,titulo,IDUsuarioFK,annotations,Unnamed: 0.1
43087,Coco Bambu Frutos do Mar,1,5,2019-6-1,2019-6-1,excelente localização  ambiente agradável  lagosta deliciosa  som ao vivo de bom gosto e atendimento excepcional do garçom evandro ,Jantar,963rodrigog,"('excelente localização  ambiente agradável  lagosta deliciosa  som ao vivo de bom gosto e atendimento excepcional do garçom evandro ', {'entities': [(23, 31, 'AMBIENTE'), (62, 73, 'AMBIENTE'), (43, 50, 'COMIDA'), (89, 100, 'SERVIÇO'), (116, 130, 'SERVIÇO'), (10, 21, 'LOCALIZAÇÃO')]})",0
83989,Coco Bambu Flamboyant,1,5,2014-9-1,2014-10-7,achei o atendimento um pouco contraditório  a meia noite colocaram música sonolenta para desocuparmos o ambiente mais rápido porém a conta demorou a chegar   vale muito a pena tomar a cerveja argentina quilmes  dificilmente encontrada na cidade  e o cardápio é maravilhoso com preço mais,Tudo muito bom!,Giselly A,"('achei o atendimento um pouco contraditório  a meia noite colocaram música sonolenta para desocuparmos o ambiente mais rápido porém a conta demorou a chegar   vale muito a pena tomar a cerveja argentina quilmes  dificilmente encontrada na cidade  e o cardápio é maravilhoso com preço mais', {'entities': [(67, 73, 'AMBIENTE'), (104, 112, 'AMBIENTE'), (250, 258, 'COMIDA'), (184, 209, 'BEBIDA'), (8, 19, 'SERVIÇO'), (277, 282, 'PREÇO')]})",1
91223,Coco Bambu Santo André,2,5,2019-1-1,2019-1-22,estivemos no coco bambu dia 21 01 2019 para comemorar nossas bodas de algodão e não podia ser mais perfeito  agradecer aos colaboradores  em especial ao mauro e felipe pela delicadeza e tanta atenção aos detalhes  jantar maravilhoso  pedimos salmão com crosta de gergelim  mas o coadjuvante mais,Noite inesquecível!,elisvarini,"('estivemos no coco bambu dia 21 01 2019 para comemorar nossas bodas de algodão e não podia ser mais perfeito  agradecer aos colaboradores  em especial ao mauro e felipe pela delicadeza e tanta atenção aos detalhes  jantar maravilhoso  pedimos salmão com crosta de gergelim  mas o coadjuvante mais', {'entities': [(13, 23, 'GERAL'), (242, 271, 'COMIDA'), (153, 158, 'SERVIÇO'), (161, 167, 'SERVIÇO')]})",2
12765,Coco Bambu Brasília Shopping,0,5,2018-6-1,2018-6-7,excelente comida a atendimento do garçom jarbas  fomos no happy hour e adoramos  recomendamos a todos a cocada de forno com sorvete ,Jantar,Jorge G,"('excelente comida a atendimento do garçom jarbas  fomos no happy hour e adoramos  recomendamos a todos a cocada de forno com sorvete ', {'entities': [(10, 16, 'COMIDA'), (104, 131, 'COMIDA'), (58, 68, 'BEBIDA'), (19, 30, 'SERVIÇO'), (34, 47, 'SERVIÇO')]})",3
52278,Coco Bambu SP Market,0,5,2019-7-1,2019-9-3,a comida do coco bambu é sempre sensacional  comentários completamente desnecessários  o atendimento é excelente  obrigado amigos ,Como a nossa casa,Mario I,"('a comida do coco bambu é sempre sensacional  comentários completamente desnecessários  o atendimento é excelente  obrigado amigos ', {'entities': [(12, 22, 'GERAL'), (2, 8, 'COMIDA'), (89, 100, 'SERVIÇO')]})",4
41158,Coco Bambu Sul Restaurante,0,5,2018-10-1,2018-10-13,empada de queijo do reino excelente  atendimento diferenciado pelo gerente maciel   música hoje estava bem legal ,Jantar semanal,Lia M,"('empada de queijo do reino excelente  atendimento diferenciado pelo gerente maciel   música hoje estava bem legal ', {'entities': [(84, 90, 'AMBIENTE'), (0, 25, 'COMIDA'), (37, 48, 'SERVIÇO'), (67, 81, 'SERVIÇO')]})",5
73328,Coco Bambu Bahia,0,5,2022-5-1,2022-5-29,o garçom luan é super atencioso  simpático e solicito  parabéns pelo atendimento     a comida também estava ótima  ,Ótimo atendimento,379marcosantonioc,"('o garçom luan é super atencioso  simpático e solicito  parabéns pelo atendimento     a comida também estava ótima  ', {'entities': [(87, 93, 'COMIDA'), (2, 13, 'SERVIÇO'), (69, 80, 'SERVIÇO')]})",6
89519,Coco Bambu Frutos do Mar,0,5,2017-2-1,2017-2-22,restaurante com um dos melhores cardápios de frutos do mar do brasil  atendimento eficiente  boa carta de bebidas e custo benefício excelente  imperdível,A vista mas bela para uma bela refeição,Alaôr B,"('restaurante com um dos melhores cardápios de frutos do mar do brasil  atendimento eficiente  boa carta de bebidas e custo benefício excelente  imperdível', {'entities': [(0, 11, 'GERAL'), (32, 58, 'COMIDA'), (97, 113, 'BEBIDA'), (70, 81, 'SERVIÇO'), (116, 131, 'PREÇO')]})",7
77892,Coco Bambu Market Place,1,4,2017-11-1,2017-11-25,já havia visitado duas vezes o cb do bairro anália franco e gostei do local  agora  no morumbi  fui tirar a prova para ver se a rede mantém a qualidade de seus negócios  o resultado foi positivo  ótimo ambiente  atendimento simpático e atencioso  preços equilibrados mais,Tudo de Bom!!!,ferrazmartins,"('já havia visitado duas vezes o cb do bairro anália franco e gostei do local  agora  no morumbi  fui tirar a prova para ver se a rede mantém a qualidade de seus negócios  o resultado foi positivo  ótimo ambiente  atendimento simpático e atencioso  preços equilibrados mais', {'entities': [(202, 210, 'AMBIENTE'), (31, 33, 'GERAL'), (212, 223, 'SERVIÇO'), (247, 253, 'PREÇO'), (37, 57, 'LOCALIZAÇÃO'), (87, 94, 'LOCALIZAÇÃO')]})",8
56021,Coco Bambu Brasília Shopping,0,4,2016-8-1,2016-9-29,restaurante sofisticado com grande variedade de peixes e frutos do mar  o atendimento é excelente  preço alto ,grande variedade de frutos do mar,Ilde S,"('restaurante sofisticado com grande variedade de peixes e frutos do mar  o atendimento é excelente  preço alto ', {'entities': [(0, 11, 'GERAL'), (48, 54, 'COMIDA'), (57, 70, 'COMIDA'), (74, 85, 'SERVIÇO'), (99, 104, 'PREÇO')]})",9
133459,Coco Bambu São Luís,0,5,2020-9-1,2020-9-5,e sempre bom estar no coco bambu restaurante excelente atendimento ótimo tudo muito satisfatório agradeço ao jorge pelo serviço foi excelente,Almoco,V886HZsoniao,"('e sempre bom estar no coco bambu restaurante excelente atendimento ótimo tudo muito satisfatório agradeço ao jorge pelo serviço foi excelente', {'entities': [(22, 44, 'GERAL'), (55, 66, 'SERVIÇO'), (109, 114, 'SERVIÇO'), (120, 127, 'SERVIÇO')]})",10
178101,Coco Bambu Frutos do Mar,0,5,2017-2-1,2017-3-17,até em dias com a cidade cheia o local é muito agradável   garçons atenciosos  música agradabilíssima e a comida  pastel e sucos maravilhosos ,Simplesmente Ótimo,538Carlos,"('até em dias com a cidade cheia o local é muito agradável   garçons atenciosos  música agradabilíssima e a comida  pastel e sucos maravilhosos ', {'entities': [(79, 85, 'AMBIENTE'), (33, 38, 'GERAL'), (106, 112, 'COMIDA'), (114, 120, 'COMIDA'), (123, 128, 'BEBIDA'), (59, 66, 'SERVIÇO')]})",11
