,Unnamed: 0,nomeRestaurante,curtidas,rating,dataVisita,dataPublicacao,comentario,titulo,IDUsuarioFK
0,43087,Coco Bambu Frutos do Mar,1,5,2019-6-1,2019-6-1,"Excelente localização, ambiente agradável, lagosta deliciosa, som ao vivo de bom gosto e atendimento excepcional do garçom evandro.",Jantar,963rodrigog
1,83989,Coco Bambu Flamboyant,1,5,2014-9-1,2014-10-7,"Achei o atendimento um pouco contraditório, a meia noite colocaram música sonolenta para desocuparmos o ambiente mais rápido porém a conta demorou a chegar . Vale muito a pena tomar a cerveja argentina Quilmes (dificilmente encontrada na cidade) e o cardápio é maravilhoso com preço...Mais",Tudo muito bom!,Giselly A
2,91223,Coco Bambu Santo André,2,5,2019-1-1,2019-1-22,"Estivemos no Coco Bambu dia 21/01/2019 para comemorar nossas bodas de algodão e não podia ser mais perfeito. Agradecer aos colaboradores, em especial ao Mauro e Felipe pela delicadeza e tanta atenção aos detalhes. Jantar maravilhoso, pedimos Salmão com crosta de gergelim, mas o coadjuvante...Mais",Noite inesquecível!,elisvarini
3,12765,Coco Bambu Brasília Shopping,0,5,2018-6-1,2018-6-7,Excelente comida a atendimento do garçom Jarbas. Fomos no happy hour e adoramos. Recomendamos a todos a cocada de forno com sorvete!,Jantar,Jorge G
4,52278,Coco Bambu SP Market,0,5,2019-7-1,2019-9-3,A comida do Coco Bambu é sempre sensacional! Comentários completamente desnecessários! O atendimento é excelente. Obrigado amigos!,Como a nossa casa,Mario I
5,41158,Coco Bambu Sul Restaurante,0,5,2018-10-1,2018-10-13,Empada de queijo do reino excelente! Atendimento diferenciado pelo Gerente Maciel.  Música hoje estava bem legal.,Jantar semanal,Lia M
6,73328,Coco Bambu Bahia,0,5,2022-5-1,2022-5-29,"O garçom Luan é super atencioso, simpático e solicito. Parabéns pelo atendimento.    A comida também estava ótima !",Ótimo atendimento,379marcosantonioc
7,89519,Coco Bambu Frutos do Mar,0,5,2017-2-1,2017-2-22,"Restaurante com um dos melhores cardápios de frutos do mar do Brasil. Atendimento eficiente, boa carta de bebidas e custo benefício excelente. Imperdível",A vista mas bela para uma bela refeição,Alaôr B
8,77892,Coco Bambu Market Place,1,4,2017-11-1,2017-11-25,"Já havia visitado duas vezes o CB do bairro Anália Franco e gostei do local. Agora, no Morumbi, fui tirar a prova para ver se a rede mantém a qualidade de seus negócios. O resultado foi positivo. Ótimo ambiente, atendimento simpático e atencioso, preços equilibrados,...Mais",Tudo de Bom!!!,ferrazmartins
9,56021,Coco Bambu Brasília Shopping,0,4,2016-8-1,2016-9-29,"restaurante sofisticado com grande variedade de peixes e frutos do mar, o atendimento é excelente, preço alto.",grande variedade de frutos do mar,Ilde S
10,133459,Coco Bambu São Luís,0,5,2020-9-1,2020-9-5,E sempre bom estar no coco bambu restaurante excelente atendimento ótimo tudo muito satisfatório agradeço ao Jorge pelo serviço foi excelente,Almoco,V886HZsoniao
11,178101,Coco Bambu Frutos do Mar,0,5,2017-2-1,2017-3-17,"Até em dias com a cidade cheia o local é muito agradável.  Garçons atenciosos. Música agradabilíssima e a comida, pastel e sucos maravilhosos.",Simplesmente Ótimo,538Carlos
12,73614,Coco Bambu Iguatemi Fortaleza,1,5,2021-9-1,2021-9-5,"Ótimo lugar, atendimento excelente do Joelmir, ambiente e comida maravilhosa, música agradável. Voltaremos outras vezes! Indicaremos muito.",Almoço agradável à dois,61tayarar
13,104188,Coco Bambu Market Place,1,5,2020-12-1,2020-12-24,Fomos servidos pelo garçom Pires que recomendou o prato “rede de pescador”.  Ficamos impressionados com a qualidade e variedade de frutos do mar servidos nesta opção e gostaríamos de salientar o ambiente romântico com sua excelente música ao vivo.,Excelente!,DrPadula
14,174242,Coco Bambu Osasco,0,5,2020-2-1,2020-3-2,"Minha experiencia foi uma das melhores, as bebidas, a comida foi tudo maravilhoso. Permaneci no bar durante toda minha visita, os atendentes muito simpaticos e atenciosos e principalmente em especial ao Josemberg, Bruno e a Raquel.","Minha visita fiquei no bar e os atendentes são maravilhosos, simpáticos e em especial ao Josemberg. Tudo perfeito",NorthStar364898
15,108944,Coco Bambu Brasília Shopping,0,5,2017-5-1,2017-5-4,"Restaurante maravilhoso, o forte são os frutos do mar, porém de novidade estão com um menu fit, com opções veganas deliciosas. Experimentei o ratatuile e a moqueca de banana, ambos sensacionais. Vale cada centavo e é muito bem servido.",Espetacular ,veronicaciteli
16,74332,Coco Bambu Anhembi,1,5,2020-2-1,2020-2-29,"Muito bom o serviço, extremamente prestativo e educado. Muito simpático e comunicativo! Voltaremos em breve!",Happy Hour Cocobambu,naschettini
