Unnamed: 0.1,Unnamed: 0,nomeRestaurante,curtidas,rating,dataVisita,dataPublicacao,comentario,titulo,IDUsuarioFK,annotations
2900,55006,Coco Bambu Conceito Eldorado,0,5,2021-7-1,2021-7-16,fomos atendidos pelo marcelo  muito prestativo excelente atendimento  recomendo  voltarei mais vezes,Jantar de aniversário,Neto_022,
2901,155457,Coco Bambu Frutos do Mar,1,5,2017-10-1,2017-10-5,fomos super bem atendidos pelo sales  pretendemos voltar sempre que viermos a fortaleza  tem uma vista incrível para o mar ,Excelene local,Josi B,
2902,34105,Coco Bambu Anhembi,2,5,2020-2-1,2020-2-28,ronas vai pra floripa e vai arrebentar  quando eu for pra floripa vou querer visitar a casa  assim como fiz em bh em quen fiz questão de conehecer adoramos pois a casa é no alto diferente adoramos tudo  parabéns  a toda a equipe,Ronas melhor garçom,renatolX535NC,
2903,48597,Coco Bambu JK,0,5,2018-5-1,2018-5-19,fomos com nosso pet e fomos muito bem atendidos pelo garçom fernando kote  até ração nosso pet ganhou  os pratos e os vinhos estavam muito gostosos ,Muito bom,205kleberc,
2904,53986,Coco Bambu Meireles,1,3,2020-9-1,2020-9-14,sempre vou com a minha família ao coco bambu  amo a comida e o atendimento de lá  mas nesse sábado o atendimento foi péssimo  a comida demorou mais de 1 hr para chegar  esqueceram suco  demora até para pagar   agora  o que mais me preocupou mais,Dessa vez deixou a desejar,d_borag2017,
2905,42523,Coco Bambu Manaus,0,5,2020-10-1,2020-10-30,excelente atendimento do garçom rafael vieira  aumente o salário dele  muito bom o ambiente e os sabores ,Almoço em comemoração ao Dia do Servidor Público,anakL6791BV,
2906,144958,Coco Bambu Frutos do Mar,0,5,2017-11-1,2017-11-17,happy hour das 17 20 hrs mt bom  caipiroskas desconto de 50  polvo mt bom  camarao recife top  vale a pena ,Excelente happy hour,filipeo489,
2907,47629,Coco Bambu Meireles,0,5,2022-8-1,2022-8-1,almoço muito bom e muito bem servido pelos atenciosos wellington e izaias  pretendo voltar novamente,Almoço,651vilmam,
2908,119821,Coco Bambu Cuiabá,0,5,2019-4-1,2019-4-5,amei a comida e o ambiente  principalmente o atendimento da garçonete nielda  muito atenciosa  gentil  amei e com certeza vou voltar mais vezes e desejo ser atendida pela mesma garçonete ,Maravilhoso!!!,jessycas2019,
2909,68665,Coco Bambu Anália Franco,1,5,2019-9-1,2019-9-12,excelente atendimento  bruno nos atendeu super bem  muito educado e atencioso com nosso filho  comida maravilhosa ,Aniversário do Filho,Diogo t,
2910,115345,Coco Bambu Brasília Shopping,0,5,2018-7-1,2018-7-5,ótimo atendimento jackson comida maravilhosa e com rapidez  super recomendo  retornamos em breve ,Almoço com amiga,Daniela B,
2911,132515,Coco Bambu Frutos do Mar,1,5,2019-6-1,2019-6-8,ótimo atendimento e pratos bem preparados e saborosos  fomos atendidos pelo garçom sidnei que foi muito atencioso e dinâmico  recomendo ,Camarões Jangadeiro ,Gicoelho,
2912,164789,Coco Bambu - Dom Pastel,0,2,2017-4-1,2017-4-21,eu costumo fazer o mesmo pedido  file à parmegiana  no horário do almoço quando peço o delivery do dom pastel  escolhia o estabelecimento pela qualidade e sabor de seus pratos  hoje  porém  para minha surpresa  ao receber o prato vi que tinha somente uma embalagem mais,Delivery - Ineficiente e desrespeitoso,Priscila S,
2913,172125,Coco Bambu Águas Claras,0,5,2022-8-1,2022-8-1,atendimento excelente pelo jorge  muito prestativo e educado  além do ambiente aconchegante  ainda convém lembrar da comida muito bem temperada e gostosa ,Atendimento exceletente,K3047AEbrunoa,
2914,174203,Coco Bambu Santo André,0,5,2020-2-1,2020-2-20,ótimo atendente  super gentil  atencioso  explica certinho  gente boa  muito feliz com o trabalho dele  antonio oliveira,Aniversário,R4974ZLgustavog,
2915,44768,Coco Bambu Lago Sul,0,5,2015-8-1,2016-1-22,restaurante muito bom para grandes grupos  custo benefício  somos frequentadores assíduos desse ambiente  uma ótima opção para frutos do mar  também é bem onteressante para comemoração de aniversário ,Tradicional!,murilosilveiralima83,
2916,78163,Coco Bambu Meireles,0,5,2013-10-1,2014-2-4,almocei no coco bambu e adorei  ótimo ambiente  clima  decoração  grande variedade de comida e o melhor é o custo benefício  recomendo ,Ótima opção,Ericagrano,
2917,179442,Coco Bambu Park Shopping,0,5,2022-3-1,2022-3-8,fomos muito bem atendidas pelo william com muita cordialidade e educação   comida saborosa  ambiente delicioso  música muito agradável ,Ótimo! William tá de parabéns s2,danielagM8182CK,
2918,12919,Coco Bambu Lago Sul,0,4,2016-10-1,2016-10-12,comer no coco bambu não tem erro  qualquer prato é delicioso  em especial os com camarão  eu adoro  na última viagem à brasília fui com 2 amigas provei o camarão tropical  estava meio na dúvida  mas a combinação de sabores de manga  maracujá e gengibre mais,"Camarão Tropical: manga, maracujá e gengibre na medida certa!",sptmello,
2919,176880,Coco Bambu Sul Restaurante,1,5,2020-2-1,2020-2-28,atendimento excelente  garçom silvio monstro maravilhoso  ambiente agradável  tudo muito bom  música muito boa,Silvo monstro,Beatriz D,
2920,139781,Coco Bambu Porto Alegre,0,5,2022-6-1,2022-6-22,ótimo atendimento pelo marcelo  super simpático  prestativo e atencioso na hora do pedido  retornaremos mais vezes,Almoço,465rain_c,
2921,10547,Coco Bambu Frutos do Mar,1,5,2018-5-1,2018-5-2,jantar neste lugar é simplesmente um show  todos os pratos são maravilhosos e o local belíssimo  atendimento muito bom  como sugestão o camarão internacional e o camarão delicia  super recomendado ,Maravilhoso!,WellingtonTorres,
2922,187887,Coco Bambu Bahia,0,4,2019-6-1,2019-6-29,excelente restaurante  comida bem servida e saborosa  garçons atenciosos  gostei muito e indico este restaurante  ,Excelente ,Claudia M,
2923,163907,Coco Bambu Anália Franco,2,5,2018-8-1,2018-8-20,foi um almoço muito bombom amigas queridas servidas pelo pablo nosso garçom   em um ambiente muito agradável,Almoço especial,selmabontempo,
