Unnamed: 0,nomeRestaurante,curtidas,rating,dataVisita,dataPublicacao,comentario,titulo,IDUsuarioFK,annotations
65923,Coco Bambu Flamboyant,0,5,2019-10-1,2019-10-31,"Pedimos os pratos de praia de itamaracá; olinda e tamandare e estava tudo maravilhoso. Fomos muito bem atendidos pelo Fernando Potigua Felinto. Em outra ocasião pedimos o praia de boa viagem, que é realmente o melhor macarrão da casa.",MELHOR CAMARÃO DA CIDADE,Tatimfb,"('Pedimos os pratos de praia de itamaracá; olinda e tamandare e estava tudo maravilhoso. Fomos muito bem atendidos pelo Fernando Potigua Felinto. Em outra ocasião pedimos o praia de boa viagem, que é realmente o melhor macarrão da casa.', {'entities': [(11, 17, 'COMIDA'), (30, 39, 'COMIDA'), (41, 47, 'COMIDA'), (50, 59, 'COMIDA'), (171, 190, 'COMIDA'), (217, 225, 'COMIDA'), (103, 112, 'SERVIÇO'), (118, 142, 'SERVIÇO')]})"
178818,Coco Bambu Meireles,0,4,2016-3-1,2016-4-5,"Comida muito boa, ambiente agradável, porções generosas, preço razoável, mas, o atendimento deixa a desejar.",Muito bom,evelineparaujo,"('Comida muito boa, ambiente agradável, porções generosas, preço razoável, mas, o atendimento deixa a desejar.', {'entities': [(18, 26, 'AMBIENTE'), (0, 6, 'COMIDA'), (38, 45, 'COMIDA'), (80, 91, 'SERVIÇO'), (57, 62, 'PREÇO')]})"
174112,Coco Bambu SP Market,0,5,2019-7-1,2019-7-17,"Excelente atendimento, qualidade da comida impecável, ambiente agradável e com espaço para crianças. Ótimo para reunir a família.",Excelente!,claragmonteiro,"('Excelente atendimento, qualidade da comida impecável, ambiente agradável e com espaço para crianças. Ótimo para reunir a família.', {'entities': [(54, 62, 'AMBIENTE'), (79, 99, 'GERAL'), (36, 42, 'COMIDA'), (10, 21, 'SERVIÇO')]})"
9990,Coco Bambu Anália Franco,2,5,2018-9-1,2018-11-7,"O lugar é agradável. Música ao vivo, atendimento normal. Mas a comida é deliciosa.  É uma rede, então todos têm o mesmo cardápio. Recomendo","Caro, porém saboroso ",alineargolo,"('O lugar é agradável. Música ao vivo, atendimento normal. Mas a comida é deliciosa.  É uma rede, então todos têm o mesmo cardápio. Recomendo', {'entities': [(2, 7, 'AMBIENTE'), (21, 27, 'GERAL'), (63, 69, 'COMIDA'), (37, 48, 'SERVIÇO')]})"
185643,Coco Bambu Uberlândia,0,3,2019-8-1,2019-8-4,"O Coco Bambu de Uberlândia segue o padrão da rede que, em geral, é bom. Porém, a unidade local sofre de um sério problema com o serviço. O tempo para trazerem uma simples água é inacreditável. Uma bebida mais elaborada, pior ainda. Já os pratos......Mais",Serviço absurdamente lento,Alexandre Henry A,"('O Coco Bambu de Uberlândia segue o padrão da rede que, em geral, é bom. Porém, a unidade local sofre de um sério problema com o serviço. O tempo para trazerem uma simples água é inacreditável. Uma bebida mais elaborada, pior ainda. Já os pratos......Mais', {'entities': [(238, 244, 'COMIDA'), (171, 175, 'BEBIDA'), (197, 203, 'BEBIDA'), (128, 135, 'SERVIÇO'), (2, 12, 'LOCALIZAÇÃO'), (16, 26, 'LOCALIZAÇÃO')]})"
127393,Coco Bambu,0,5,2020-8-1,2020-8-15,"Excelente atendimento e ótimos pratos. Comida deliciosa. Parabéns ao gerente Hugo, muito profissional e atencioso.",Agradecimento pelo atendimento,Isabela C,"('Excelente atendimento e ótimos pratos. Comida deliciosa. Parabéns ao gerente Hugo, muito profissional e atencioso.', {'entities': [(31, 37, 'COMIDA'), (39, 45, 'COMIDA'), (10, 21, 'SERVIÇO'), (77, 81, 'SERVIÇO')]})"
67336,Coco Bambu Frutos do Mar,1,5,2014-9-1,2014-12-2,"Adoro a rede de Restaurantes do grupo Coco Bambu, mas o Coco Bambu Frutos do Mar é especial... Tem uma localização ímpar na Beira-mar de Fortaleza, ambiente agradabilíssimo, comida mais que perfeita, atendimento nota 10 e uma caipifruta de uva que é Tuuudo!!! Sempre que...Mais",Espetacular!!!,Angela_Vianna,"('Adoro a rede de Restaurantes do grupo Coco Bambu, mas o Coco Bambu Frutos do Mar é especial... Tem uma localização ímpar na Beira-mar de Fortaleza, ambiente agradabilíssimo, comida mais que perfeita, atendimento nota 10 e uma caipifruta de uva que é Tuuudo!!! Sempre que...Mais', {'entities': [(148, 156, 'AMBIENTE'), (16, 28, 'GERAL'), (174, 180, 'COMIDA'), (226, 243, 'BEBIDA'), (200, 211, 'SERVIÇO'), (38, 48, 'LOCALIZAÇÃO'), (56, 80, 'LOCALIZAÇÃO'), (103, 114, 'LOCALIZAÇÃO'), (124, 133, 'LOCALIZAÇÃO'), (137, 146, 'LOCALIZAÇÃO')]})"
33075,Coco Bambu Londrina,0,5,2022-1-1,2022-1-30,"Excelente atendimento. Comida saborosa e com preço condizente, justo. Ambiente agradável, com música ao vivo e ótimo repertório.  Bebidas geladas que chegam rapidamente às mesas. Banheiros limpíssimos. Decoração refinada. Garçons atenciosos e prestativos. Espaço Kids atrativo e seguro. Adega completa.",Excelente,tha_sang_licap2021,"('Excelente atendimento. Comida saborosa e com preço condizente, justo. Ambiente agradável, com música ao vivo e ótimo repertório.  Bebidas geladas que chegam rapidamente às mesas. Banheiros limpíssimos. Decoração refinada. Garçons atenciosos e prestativos. Espaço Kids atrativo e seguro. Adega completa.', {'entities': [(70, 78, 'AMBIENTE'), (94, 100, 'GERAL'), (179, 188, 'GERAL'), (256, 267, 'GERAL'), (23, 29, 'COMIDA'), (130, 137, 'BEBIDA'), (287, 292, 'BEBIDA'), (10, 21, 'SERVIÇO'), (222, 229, 'SERVIÇO'), (45, 50, 'PREÇO')]})"
127691,Coco Bambu Águas Claras,3,5,2018-8-1,2018-8-6,"Lugar para ir com amigos e familiares, confraternização. Ótima localização,música,ambiente limpo e bem decorado, comida excelente comemorações,",Para comemorar,ElkeOliveira,"('Lugar para ir com amigos e familiares, confraternização. Ótima localização,música,ambiente limpo e bem decorado, comida excelente comemorações,', {'entities': [(0, 5, 'AMBIENTE'), (82, 90, 'AMBIENTE'), (75, 81, 'GERAL'), (113, 119, 'COMIDA'), (63, 74, 'LOCALIZAÇÃO')]})"
154718,Coco Bambu Bahia,0,5,2018-9-1,2018-9-18,"A comida é uma delícia e muito bem servido. Atendimento excelente por Edilson e Roberto, voltarei com certeza.",Melhor camarão!,paulatbl,"('A comida é uma delícia e muito bem servido. Atendimento excelente por Edilson e Roberto, voltarei com certeza.', {'entities': [(2, 8, 'COMIDA'), (44, 55, 'SERVIÇO'), (70, 77, 'SERVIÇO'), (80, 87, 'SERVIÇO')]})"
158388,Coco Bambu Anhembi,0,5,2018-4-1,2018-4-20,Excelente comida e atendimento. Os garçons Adriano Sorriso e o Fabiano são excelentes !!! O Metre Fabão também da todo apoio no excelente atendimento ... super indico !! Não saiam sem a cocada ao forno !! :),Jantar comemoração ,Fernanda d,"('Excelente comida e atendimento. Os garçons Adriano Sorriso e o Fabiano são excelentes !!! O Metre Fabão também da todo apoio no excelente atendimento ... super indico !! Não saiam sem a cocada ao forno !! :)', {'entities': [(10, 16, 'COMIDA'), (186, 201, 'COMIDA'), (19, 30, 'SERVIÇO'), (43, 58, 'SERVIÇO'), (63, 70, 'SERVIÇO'), (98, 103, 'SERVIÇO'), (138, 149, 'SERVIÇO')]})"
94690,Coco Bambu Anhembi,0,5,2016-12-1,2016-12-29,"Atendimento perfeito desde o manobrista até o sommelier. 400 lugares, expandindo para 1200, dos quais 600 serão reservados para eventos.  Todos, sem exceção, fazem questão de agradar o cliente en todos os detalhes. Perguntei ao maitre se meu prato podia vir sem coentro e ele...Mais",Excelente atendimento num lugar lindo,428andr_af,"('Atendimento perfeito desde o manobrista até o sommelier. 400 lugares, expandindo para 1200, dos quais 600 serão reservados para eventos.  Todos, sem exceção, fazem questão de agradar o cliente en todos os detalhes. Perguntei ao maitre se meu prato podia vir sem coentro e ele...Mais', {'entities': [(242, 247, 'COMIDA'), (0, 11, 'SERVIÇO'), (29, 39, 'SERVIÇO'), (46, 55, 'SERVIÇO')]})"
36409,Coco Bambu Conceito Pátio Paulista,0,5,2022-3-1,2022-3-12,Sempre uma experiência maravilhosa. Fomos bem recebidos pelo Felipe Abreu com o atendimento excelente e seu parceiro Bruno. Obrigada!,Atendimento e recepção,arianercosta,"('Sempre uma experiência maravilhosa. Fomos bem recebidos pelo Felipe Abreu com o atendimento excelente e seu parceiro Bruno. Obrigada!', {'entities': [(61, 73, 'SERVIÇO'), (80, 91, 'SERVIÇO'), (117, 122, 'SERVIÇO')]})"
