Index,Anotação
"Excelente localização, ambiente agradável, lagosta deliciosa, som ao vivo de bom gosto e atendimento excepcional do garçom evandro.","{'entities': [(23, 31, 'AMBIENTE'), (62, 73, 'AMBIENTE'), (43, 50, 'COMIDA'), (89, 100, 'SERVIÇO'), (116, 130, 'SERVIÇO'), (10, 21, 'LOCALIZAÇÃO')]}"
"Achei o atendimento um pouco contraditório, a meia noite colocaram música sonolenta para desocuparmos o ambiente mais rápido porém a conta demorou a chegar . Vale muito a pena tomar a cerveja argentina Quilmes (dificilmente encontrada na cidade) e o cardápio é maravilhoso com preço...Mais","{'entities': [(104, 112, 'AMBIENTE'), (67, 73, 'GERAL'), (250, 258, 'COMIDA'), (184, 209, 'BEBIDA'), (8, 19, 'SERVIÇO'), (277, 282, 'PREÇO')]}"
"Estivemos no Coco Bambu dia 21/01/2019 para comemorar nossas bodas de algodão e não podia ser mais perfeito. Agradecer aos colaboradores, em especial ao Mauro e Felipe pela delicadeza e tanta atenção aos detalhes. Jantar maravilhoso, pedimos Salmão com crosta de gergelim, mas o coadjuvante...Mais","{'entities': [(13, 23, 'GERAL'), (214, 220, 'COMIDA'), (242, 271, 'COMIDA'), (153, 158, 'SERVIÇO'), (161, 167, 'SERVIÇO')]}"
Excelente comida a atendimento do garçom Jarbas. Fomos no happy hour e adoramos. Recomendamos a todos a cocada de forno com sorvete!,"{'entities': [(10, 16, 'COMIDA'), (104, 131, 'COMIDA'), (58, 68, 'BEBIDA'), (19, 30, 'SERVIÇO'), (34, 47, 'SERVIÇO')]}"
A comida do Coco Bambu é sempre sensacional! Comentários completamente desnecessários! O atendimento é excelente. Obrigado amigos!,"{'entities': [(12, 22, 'GERAL'), (2, 8, 'COMIDA'), (89, 100, 'SERVIÇO')]}"
Empada de queijo do reino excelente! Atendimento diferenciado pelo Gerente Maciel.  Música hoje estava bem legal.,"{'entities': [(84, 90, 'AMBIENTE'), (0, 25, 'COMIDA'), (37, 48, 'SERVIÇO'), (67, 81, 'SERVIÇO')]}"
"O garçom Luan é super atencioso, simpático e solicito. Parabéns pelo atendimento.    A comida também estava ótima !","{'entities': [(87, 93, 'COMIDA'), (2, 13, 'SERVIÇO'), (69, 80, 'SERVIÇO')]}"
"Restaurante com um dos melhores cardápios de frutos do mar do Brasil. Atendimento eficiente, boa carta de bebidas e custo benefício excelente. Imperdível","{'entities': [(0, 11, 'GERAL'), (32, 41, 'COMIDA'), (45, 58, 'COMIDA'), (97, 113, 'BEBIDA'), (70, 81, 'SERVIÇO'), (116, 131, 'PREÇO')]}"
"Já havia visitado duas vezes o CB do bairro Anália Franco e gostei do local. Agora, no Morumbi, fui tirar a prova para ver se a rede mantém a qualidade de seus negócios. O resultado foi positivo. Ótimo ambiente, atendimento simpático e atencioso, preços equilibrados,...Mais","{'entities': [(202, 210, 'AMBIENTE'), (31, 33, 'GERAL'), (212, 223, 'SERVIÇO'), (247, 253, 'PREÇO'), (44, 57, 'LOCALIZAÇÃO'), (87, 94, 'LOCALIZAÇÃO')]}"
"restaurante sofisticado com grande variedade de peixes e frutos do mar, o atendimento é excelente, preço alto.","{'entities': [(0, 11, 'GERAL'), (48, 54, 'COMIDA'), (57, 70, 'COMIDA'), (74, 85, 'SERVIÇO'), (99, 104, 'PREÇO')]}"
