Unnamed: 0,nomeRestaurante,curtidas,rating,dataVisita,dataPublicacao,comentario,titulo,IDUsuarioFK,annotations
142483,Coco Bambu Porto Alegre,0,5,2018-11-1,2018-11-28,"Lugar agradável, atendimento razoável, música boa e comida que segue o mesmo padrão dos outros restaurantes da rede Cocobambu. Sempre uma boa opção.",Padrão Cocobambu ,kyka_cm,"('Lugar agradável, atendimento razoável, música boa e comida que segue o mesmo padrão dos outros restaurantes da rede Cocobambu. Sempre uma boa opção.', {'entities': [(39, 45, 'AMBIENTE'), (0, 5, 'GERAL'), (95, 107, 'GERAL'), (116, 125, 'GERAL'), (52, 58, 'COMIDA'), (17, 28, 'SERVIÇO')]})"
179317,Coco Bambu Sul Restaurante,0,5,2018-9-1,2018-9-20,"Melhor local para uma boa janta, na cidade de Fortaleza!!! Bom atendimento e boa receptividade!! Garçom show",Top,GustavoC4366,"('Melhor local para uma boa janta, na cidade de Fortaleza!!! Bom atendimento e boa receptividade!! Garçom show', {'entities': [(7, 12, 'GERAL'), (26, 31, 'COMIDA'), (63, 74, 'SERVIÇO'), (97, 103, 'SERVIÇO'), (46, 55, 'LOCALIZAÇÃO')]})"
145562,Coco Bambu JK,2,5,2017-2-1,2017-2-7,"Fomos jantar um sábado à noite. Grupo de seis pessoas. Fizemos reserva. O local é bem agradável, com iluminação suave e boa música. A comida é muito boa e o forte da casa são os pratos com camarão e frutos do mar. As porções são...Mais","Local muito agradável para jantar em grupo, comida de mar",SanchesA111,"('Fomos jantar um sábado à noite. Grupo de seis pessoas. Fizemos reserva. O local é bem agradável, com iluminação suave e boa música. A comida é muito boa e o forte da casa são os pratos com camarão e frutos do mar. As porções são...Mais', {'entities': [(101, 111, 'AMBIENTE'), (124, 130, 'AMBIENTE'), (74, 79, 'GERAL'), (6, 12, 'COMIDA'), (134, 140, 'COMIDA'), (178, 184, 'COMIDA'), (189, 196, 'COMIDA'), (199, 212, 'COMIDA'), (217, 224, 'COMIDA')]})"
72361,Coco Bambu Sul Restaurante,1,5,2017-12-1,2017-12-22,"As instalações são excelentes, com amplos ambientes climatizados e varandas externas com temperatura ambiente. O cardápio é variado, com destaque para os pratos de camarão e frutos do mar.  De entrada, o pastel socadinho de camarão é imperdível. Muito bom também o couvert especial.  Os...Mais",TUDO MUITO BOM,Papis53,"('As instalações são excelentes, com amplos ambientes climatizados e varandas externas com temperatura ambiente. O cardápio é variado, com destaque para os pratos de camarão e frutos do mar.  De entrada, o pastel socadinho de camarão é imperdível. Muito bom também o couvert especial.  Os...Mais', {'entities': [(42, 51, 'AMBIENTE'), (67, 75, 'AMBIENTE'), (265, 272, 'AMBIENTE'), (3, 14, 'GERAL'), (113, 121, 'COMIDA'), (154, 160, 'COMIDA'), (164, 171, 'COMIDA'), (174, 187, 'COMIDA'), (193, 200, 'COMIDA'), (204, 231, 'COMIDA')]})"
17087,Coco Bambu Ribeirao Preto,1,5,2019-9-1,2019-9-5,"Ótima comida, ambiente, atendimento excelente realizado pelo garçom Raynan, excelente opção para datas comemorativas.",Jantar em família,Macastro10,"('Ótima comida, ambiente, atendimento excelente realizado pelo garçom Raynan, excelente opção para datas comemorativas.', {'entities': [(14, 22, 'AMBIENTE'), (6, 12, 'COMIDA'), (24, 35, 'SERVIÇO'), (61, 74, 'SERVIÇO')]})"
6689,Coco Bambu Campinas,0,5,2017-8-1,2017-8-31,"O restaurante fica no shopping iguatemi. O atendimento é ótimo e rápido, além de os garçons serem muito educados. O prato para três pessoas serve quatro, acredite kk. Recomendo, para quem não se importa de pagar pelo bom!",Excelente!,ragazzonir,"('O restaurante fica no shopping iguatemi. O atendimento é ótimo e rápido, além de os garçons serem muito educados. O prato para três pessoas serve quatro, acredite kk. Recomendo, para quem não se importa de pagar pelo bom!', {'entities': [(2, 13, 'GERAL'), (116, 121, 'COMIDA'), (43, 54, 'SERVIÇO'), (84, 91, 'SERVIÇO'), (206, 220, 'PREÇO'), (22, 39, 'LOCALIZAÇÃO')]})"
75280,Coco Bambu Porto Alegre,0,5,2019-10-1,2019-10-2,"Pratos deliciosos!Restaurante muito aconchegante , e fomos muito bem atendidos pelo Cumim Diego ,muito atencioso e prestativo . Vamos retornar com certeza ! Recomendamos ..",Excelente atendimento,L5ri22a,"('Pratos deliciosos!Restaurante muito aconchegante , e fomos muito bem atendidos pelo Cumim Diego ,muito atencioso e prestativo . Vamos retornar com certeza ! Recomendamos ..', {'entities': [(0, 6, 'COMIDA'), (84, 95, 'SERVIÇO')]})"
174574,Coco Bambu Restaurante,0,5,2021-1-1,2021-1-26,"Os melhores pratos, sabor incomparável e o atendimento sensacional! Gabriel e Nádia, vocês são incríveis!",Melhor restaurante de BH!,rafaelo721,"('Os melhores pratos, sabor incomparável e o atendimento sensacional! Gabriel e Nádia, vocês são incríveis!', {'entities': [(12, 18, 'COMIDA'), (43, 54, 'SERVIÇO'), (68, 75, 'SERVIÇO'), (78, 83, 'SERVIÇO')]})"
103761,Coco Bambu Conceito Vila Olímpia,0,5,2019-12-1,2019-12-28,"Nossa experiência foi maravilhosa no qual foram 4 casais. O serviço dos garçons foi ótimo, sempre dispostos, sem atrasos nos pedidos  e os pratos pedidos vieram saborosos e nos serviram muito bem. A bebida é bem servida tbm. Parabéns ao Lino e Ramon a frente...Mais",Jantar entre amigos,Kelvin_Maues,"('Nossa experiência foi maravilhosa no qual foram 4 casais. O serviço dos garçons foi ótimo, sempre dispostos, sem atrasos nos pedidos  e os pratos pedidos vieram saborosos e nos serviram muito bem. A bebida é bem servida tbm. Parabéns ao Lino e Ramon a frente...Mais', {'entities': [(139, 145, 'COMIDA'), (199, 205, 'BEBIDA'), (60, 67, 'SERVIÇO'), (72, 79, 'SERVIÇO'), (237, 241, 'SERVIÇO'), (244, 249, 'SERVIÇO')]})"
69894,Coco Bambu Lago Sul,0,4,2016-9-1,2016-9-26,"Pessoalmente, prefiro esse Coco Bambu às margens do Lago... O ambiente do restaurante é extremamente agradável e a vista muito aprazível!!!      Se lá estiver num dia de sol, de lua cheia ou na hora do por do sol....... poderá confirmar esta belíssima vista do Lago...Mais",O prazer de lá estar sempre é renovado a cada ida!!!,MGPAB,"('Pessoalmente, prefiro esse Coco Bambu às margens do Lago... O ambiente do restaurante é extremamente agradável e a vista muito aprazível!!!      Se lá estiver num dia de sol, de lua cheia ou na hora do por do sol....... poderá confirmar esta belíssima vista do Lago...Mais', {'entities': [(62, 70, 'AMBIENTE'), (115, 120, 'AMBIENTE'), (252, 257, 'AMBIENTE'), (27, 37, 'GERAL'), (74, 85, 'GERAL'), (41, 56, 'LOCALIZAÇÃO')]})"
153225,Coco Bambu Floripa,1,5,2021-11-1,2021-11-14,"A comida estava ótimo, assim como a apresentação do prato. Drinks ótimos. O atendimento do garçom Mikael foi perfeito, extremamente atencioso e simpático!",Lugar maravilhoso e ótimo atendimento,gabrielacO741EB,"('A comida estava ótimo, assim como a apresentação do prato. Drinks ótimos. O atendimento do garçom Mikael foi perfeito, extremamente atencioso e simpático!', {'entities': [(2, 8, 'COMIDA'), (52, 57, 'COMIDA'), (76, 87, 'SERVIÇO'), (91, 104, 'SERVIÇO')]})"
