Unnamed: 0,nomeRestaurante,curtidas,rating,dataVisita,dataPublicacao,comentario,titulo,IDUsuarioFK,annotations
39505,Coco Bambu Sul Restaurante,0,5,2017-2-1,2017-2-2,"O lugar do restaurante é agradavel. Fica á beira mar. A comida uma delícia. Um peixe grelhado com molho de camarão (Peixada Tropical) e uma salada muito farta, pedida à parte. Uma variedade de sucos de fruta muito grande. Vale a pena!",Tudo muito bom. ,angelarenault,"('O lugar do restaurante é agradavel. Fica á beira mar. A comida uma delícia. Um peixe grelhado com molho de camarão (Peixada Tropical) e uma salada muito farta, pedida à parte. Uma variedade de sucos de fruta muito grande. Vale a pena!', {'entities': [(11, 22, 'GERAL'), (56, 62, 'COMIDA'), (79, 114, 'COMIDA'), (116, 132, 'COMIDA'), (140, 146, 'COMIDA'), (193, 207, 'BEBIDA'), (43, 52, 'LOCALIZAÇÃO')]})"
132978,Coco Bambu,0,5,2021-10-1,2021-10-21,"Muito bem atendida pelo Alexandre Souza! Voltarei sempre, muito educado e proativo. Espero ser atendida sempre por ele.Mais",Muito agradável,camilag833,"('Muito bem atendida pelo Alexandre Souza! Voltarei sempre, muito educado e proativo. Espero ser atendida sempre por ele.Mais', {'entities': [(10, 18, 'SERVIÇO'), (24, 39, 'SERVIÇO'), (95, 103, 'SERVIÇO')]})"
82065,Coco Bambu Anhembi,0,5,2018-2-1,2018-2-7,"Ambiente super aconchegante, cardápio bem variado, hoje fomos surpreendidos com música e violão ao vivo mas o destaque fica para o atendimento. Equipe de garçons muito bem treinados, educados, simpáticos e pró ativos! Destaque para o Samuel que veio direto de Fortaleza para abrilhantar a...Mais",Atendimento nota 10!,Amanda B,"('Ambiente super aconchegante, cardápio bem variado, hoje fomos surpreendidos com música e violão ao vivo mas o destaque fica para o atendimento. Equipe de garçons muito bem treinados, educados, simpáticos e pró ativos! Destaque para o Samuel que veio direto de Fortaleza para abrilhantar a...Mais', {'entities': [(0, 8, 'AMBIENTE'), (80, 86, 'GERAL'), (29, 37, 'COMIDA'), (131, 142, 'SERVIÇO'), (154, 161, 'SERVIÇO'), (234, 240, 'SERVIÇO'), (260, 269, 'LOCALIZAÇÃO')]})"
76827,Coco Bambu Anália Franco,0,5,2019-10-1,2019-10-2,Atendimento do nosso amigo Charles maravilhoso.. Me ajudou a organizar esse jantar especial junto com nosso amigo Julho que deu total atenção..  Mesa reservada em um local muito bom e um musical agradável...  A comida sem palavras...   Muito grato por tudo que nós proporcionou,Um encontro mais que especial,Kevin S,"('Atendimento do nosso amigo Charles maravilhoso.. Me ajudou a organizar esse jantar especial junto com nosso amigo Julho que deu total atenção..  Mesa reservada em um local muito bom e um musical agradável...  A comida sem palavras...   Muito grato por tudo que nós proporcionou', {'entities': [(187, 194, 'GERAL'), (211, 217, 'COMIDA'), (0, 11, 'SERVIÇO'), (27, 34, 'SERVIÇO'), (114, 119, 'SERVIÇO')]})"
43499,Coco Bambu Águas Claras,2,5,2019-10-1,2019-10-20,"Fomos atendido pelo CLEBER, um atendimento excelente, voltarei lá pelo excelente atendimento dele, super atencioso, educado, sabe tudo sobre vinhos e bebidas, fiquei surpresa.. Adorei comemorar meus 8 anos de casamento no Cocó Bambu sendo atendidos por ele! Pratos e bebidas de melhor qualidade.. Super...Mais",Atendimento maravilhoso! ,gaguc2019,"('Fomos atendido pelo CLEBER, um atendimento excelente, voltarei lá pelo excelente atendimento dele, super atencioso, educado, sabe tudo sobre vinhos e bebidas, fiquei surpresa.. Adorei comemorar meus 8 anos de casamento no Cocó Bambu sendo atendidos por ele! Pratos e bebidas de melhor qualidade.. Super...Mais', {'entities': [(258, 264, 'COMIDA'), (141, 147, 'BEBIDA'), (150, 157, 'BEBIDA'), (267, 274, 'BEBIDA'), (20, 26, 'SERVIÇO'), (31, 42, 'SERVIÇO'), (81, 92, 'SERVIÇO'), (222, 232, 'LOCALIZAÇÃO')]})"
7559,Coco Bambu Campo Grande,0,4,2022-4-1,2022-4-26,"Atendimento, ambiente e comida deliciosa! Wellington atendente muito querido, será um prazer voltar !",Aproveitando oportunidades,adrianaalencastro,"('Atendimento, ambiente e comida deliciosa! Wellington atendente muito querido, será um prazer voltar !', {'entities': [(13, 21, 'AMBIENTE'), (24, 30, 'COMIDA'), (0, 11, 'SERVIÇO'), (42, 52, 'SERVIÇO')]})"
77226,Coco Bambu Londrina,0,5,2021-4-1,2021-4-7,"Muito satisfatório o atendimento, cardápio, bebidas e ambiente!!! Primeiro de muitos jantares aqui!!",Aniversário de casamento,567dayannea,"('Muito satisfatório o atendimento, cardápio, bebidas e ambiente!!! Primeiro de muitos jantares aqui!!', {'entities': [(54, 62, 'AMBIENTE'), (34, 42, 'COMIDA'), (44, 51, 'BEBIDA'), (21, 32, 'SERVIÇO')]})"
32978,Coco Bambu Lago Sul,1,5,2018-8-1,2018-8-21,ótimo atendimento do garçom! um ótimo ambiente é uma ótima comida! lugar perfeito para vim com a família! Garçom Ribeiro,Jantar!,Gabriel C,"('ótimo atendimento do garçom! um ótimo ambiente é uma ótima comida! lugar perfeito para vim com a família! Garçom Ribeiro', {'entities': [(38, 46, 'AMBIENTE'), (67, 72, 'GERAL'), (59, 65, 'COMIDA'), (6, 17, 'SERVIÇO'), (113, 120, 'SERVIÇO')]})"
55927,Coco Bambu Frutos do Mar,0,5,2016-11-1,2016-11-15,Restaurante muito tradicionais e com sabores para todos os gostos. Bom atendimento e deliciosas sobremesas.,Delicioso,isabelefreitas,"('Restaurante muito tradicionais e com sabores para todos os gostos. Bom atendimento e deliciosas sobremesas.', {'entities': [(0, 11, 'GERAL'), (96, 106, 'COMIDA'), (71, 82, 'SERVIÇO')]})"
39452,Coco Bambu Brasília Shopping,1,5,2015-11-1,2015-11-26,O restaurante Coco Bambu nunca decepciona.  Atendimento e comida excelentes. Prepare-se para comer muito. Os pratos são muito bem servidos.,Excelente. Como sempre!,MarcusLM,"('O restaurante Coco Bambu nunca decepciona.  Atendimento e comida excelentes. Prepare-se para comer muito. Os pratos são muito bem servidos.', {'entities': [(2, 13, 'GERAL'), (58, 64, 'COMIDA'), (109, 115, 'COMIDA'), (44, 55, 'SERVIÇO'), (14, 24, 'LOCALIZAÇÃO')]})"
