Unnamed: 0,nomeRestaurante,curtidas,rating,dataVisita,dataPublicacao,comentario,titulo,IDUsuarioFK,annotations,Unnamed: 0.1
43087.0,Coco Bambu Frutos do Mar,1,5,2019-6-1,2019-6-1,excelente localização  ambiente agradável  lagosta deliciosa  som ao vivo de bom gosto e atendimento excepcional do garçom evandro ,Jantar,963rodrigog,"('excelente localização  ambiente agradável  lagosta deliciosa  som    vivo        gosto   atendimento excepcional    garçom evandro ', {'entities': [(23, 31, 'AMBIENTE'), (62, 73, 'AMBIENTE'), (43, 50, 'COMIDA'), (89, 100, 'SERVIÇO'), (116, 130, 'SERVIÇO'), (10, 21, 'LOCALIZAÇÃO')]})",0.0
83989.0,Coco Bambu Flamboyant,1,5,2014-9-1,2014-10-7,achei o atendimento um pouco contraditório  a meia noite colocaram música sonolenta para desocuparmos o ambiente mais rápido porém a conta demorou a chegar   vale muito a pena tomar a cerveja argentina quilmes  dificilmente encontrada na cidade  e o cardápio é maravilhoso com preço mais,Tudo muito bom!,Giselly A,"('achei   atendimento          contraditório    meia       colocaram música sonolenta      desocuparmos   ambiente      rápido         conta demorou   chegar   vale         pena tomar   cerveja argentina quilmes  dificilmente encontrada    cidade      cardápio   maravilhoso     preço mais', {'entities': [(67, 73, 'AMBIENTE'), (104, 112, 'AMBIENTE'), (250, 258, 'COMIDA'), (184, 209, 'BEBIDA'), (8, 19, 'SERVIÇO'), (277, 282, 'PREÇO')]})",1.0
91223.0,Coco Bambu Santo André,2,5,2019-1-1,2019-1-22,estivemos no coco bambu dia 21 01 2019 para comemorar nossas bodas de algodão e não podia ser mais perfeito  agradecer aos colaboradores  em especial ao mauro e felipe pela delicadeza e tanta atenção aos detalhes  jantar maravilhoso  pedimos salmão com crosta de gergelim  mas o coadjuvante mais,Noite inesquecível!,elisvarini,"('estivemos    coco bambu     21 01 2019      comemorar        bodas    algodão                      perfeito  agradecer     colaboradores     especial    mauro   felipe      delicadeza         atenção     detalhes  jantar maravilhoso  pedimos salmão     crosta    gergelim        coadjuvante mais', {'entities': [(13, 23, 'GERAL'), (242, 271, 'COMIDA'), (153, 158, 'SERVIÇO'), (161, 167, 'SERVIÇO')]})",2.0
12765.0,Coco Bambu Brasília Shopping,0,5,2018-6-1,2018-6-7,excelente comida a atendimento do garçom jarbas  fomos no happy hour e adoramos  recomendamos a todos a cocada de forno com sorvete ,Jantar,Jorge G,"('excelente comida   atendimento    garçom jarbas           happy hour   adoramos  recomendamos           cocada    forno     sorvete ', {'entities': [(10, 16, 'COMIDA'), (104, 131, 'COMIDA'), (58, 68, 'BEBIDA'), (19, 30, 'SERVIÇO'), (34, 47, 'SERVIÇO')]})",3.0
52278.0,Coco Bambu SP Market,0,5,2019-7-1,2019-9-3,a comida do coco bambu é sempre sensacional  comentários completamente desnecessários  o atendimento é excelente  obrigado amigos ,Como a nossa casa,Mario I,"('a comida    coco bambu          sensacional  comentários completamente desnecessários    atendimento   excelente           amigos ', {'entities': [(12, 22, 'GERAL'), (2, 8, 'COMIDA'), (89, 100, 'SERVIÇO')]})",4.0
41158.0,Coco Bambu Sul Restaurante,0,5,2018-10-1,2018-10-13,empada de queijo do reino excelente  atendimento diferenciado pelo gerente maciel   música hoje estava bem legal ,Jantar semanal,Lia M,"('empada    queijo    reino excelente  atendimento diferenciado      gerente maciel   música                 legal ', {'entities': [(84, 90, 'AMBIENTE'), (0, 25, 'COMIDA'), (37, 48, 'SERVIÇO'), (67, 81, 'SERVIÇO')]})",5.0
73328.0,Coco Bambu Bahia,0,5,2022-5-1,2022-5-29,o garçom luan é super atencioso  simpático e solicito  parabéns pelo atendimento     a comida também estava ótima  ,Ótimo atendimento,379marcosantonioc,"('o garçom luan   super atencioso  simpático   solicito  parabéns      atendimento       comida               ótima  ', {'entities': [(87, 93, 'COMIDA'), (2, 13, 'SERVIÇO'), (69, 80, 'SERVIÇO')]})",6.0
89519.0,Coco Bambu Frutos do Mar,0,5,2017-2-1,2017-2-22,restaurante com um dos melhores cardápios de frutos do mar do brasil  atendimento eficiente  boa carta de bebidas e custo benefício excelente  imperdível,A vista mas bela para uma bela refeição,Alaôr B,"('restaurante            melhores cardápios    frutos    mar    brasil  atendimento eficiente      carta    bebidas   custo benefício excelente  imperdível', {'entities': [(0, 11, 'GERAL'), (32, 58, 'COMIDA'), (97, 113, 'BEBIDA'), (70, 81, 'SERVIÇO'), (116, 131, 'PREÇO')]})",7.0
77892.0,Coco Bambu Market Place,1,4,2017-11-1,2017-11-25,já havia visitado duas vezes o cb do bairro anália franco e gostei do local  agora  no morumbi  fui tirar a prova para ver se a rede mantém a qualidade de seus negócios  o resultado foi positivo  ótimo ambiente  atendimento simpático e atencioso  preços equilibrados mais,Tudo de Bom!!!,ferrazmartins,"('já       visitado              cb    bairro anália franco   gostei    local            morumbi      tirar   prova               rede mantém   qualidade         negócios    resultado     positivo  ótimo ambiente  atendimento simpático   atencioso  preços equilibrados mais', {'entities': [(202, 210, 'AMBIENTE'), (31, 33, 'GERAL'), (212, 223, 'SERVIÇO'), (247, 253, 'PREÇO'), (37, 57, 'LOCALIZAÇÃO'), (87, 94, 'LOCALIZAÇÃO')]})",8.0
56021.0,Coco Bambu Brasília Shopping,0,4,2016-8-1,2016-9-29,restaurante sofisticado com grande variedade de peixes e frutos do mar  o atendimento é excelente  preço alto ,grande variedade de frutos do mar,Ilde S,"('restaurante sofisticado            variedade    peixes   frutos    mar    atendimento   excelente  preço alto ', {'entities': [(0, 11, 'GERAL'), (48, 54, 'COMIDA'), (57, 70, 'COMIDA'), (74, 85, 'SERVIÇO'), (99, 104, 'PREÇO')]})",9.0
133459.0,Coco Bambu São Luís,0,5,2020-9-1,2020-9-5,e sempre bom estar no coco bambu restaurante excelente atendimento ótimo tudo muito satisfatório agradeço ao jorge pelo serviço foi excelente,Almoco,V886HZsoniao,"('e                     coco bambu restaurante excelente atendimento ótimo            satisfatório agradeço    jorge      serviço     excelente', {'entities': [(22, 44, 'GERAL'), (55, 66, 'SERVIÇO'), (109, 114, 'SERVIÇO'), (120, 127, 'SERVIÇO')]})",10.0
178101.0,Coco Bambu Frutos do Mar,0,5,2017-2-1,2017-3-17,até em dias com a cidade cheia o local é muito agradável   garçons atenciosos  música agradabilíssima e a comida  pastel e sucos maravilhosos ,Simplesmente Ótimo,538Carlos,"('até    dias       cidade cheia   local         agradável   garçons atenciosos  música agradabilíssima     comida  pastel   sucos maravilhosos ', {'entities': [(79, 85, 'AMBIENTE'), (33, 38, 'GERAL'), (106, 112, 'COMIDA'), (114, 120, 'COMIDA'), (123, 128, 'BEBIDA'), (59, 66, 'SERVIÇO')]})",11.0
73614.0,Coco Bambu Iguatemi Fortaleza,1,5,2021-9-1,2021-9-5,ótimo lugar  atendimento excelente do joelmir  ambiente e comida maravilhosa  música agradável  voltaremos outras vezes  indicaremos muito ,Almoço agradável à dois,61tayarar,"('ótimo lugar  atendimento excelente    joelmir  ambiente   comida maravilhosa  música agradável  voltaremos               indicaremos       ', {'entities': [(47, 55, 'AMBIENTE'), (78, 84, 'AMBIENTE'), (6, 11, 'GERAL'), (58, 64, 'COMIDA'), (13, 24, 'SERVIÇO'), (38, 45, 'SERVIÇO')]})",12.0
104188.0,Coco Bambu Market Place,1,5,2020-12-1,2020-12-24,fomos servidos pelo garçom pires que recomendou o prato  rede de pescador   ficamos impressionados com a qualidade e variedade de frutos do mar servidos nesta opção e gostaríamos de salientar o ambiente romântico com sua excelente música ao vivo ,Excelente!,DrPadula,"('fomos servidos      garçom pires     recomendou   prato  rede    pescador   ficamos impressionados       qualidade   variedade    frutos    mar servidos       opção   gostaríamos    salientar   ambiente romântico         excelente música    vivo ', {'entities': [(194, 202, 'AMBIENTE'), (231, 245, 'AMBIENTE'), (130, 143, 'COMIDA'), (20, 32, 'SERVIÇO')]})",13.0
174242.0,Coco Bambu Osasco,0,5,2020-2-1,2020-3-2,minha experiencia foi uma das melhores  as bebidas  a comida foi tudo maravilhoso  permaneci no bar durante toda minha visita  os atendentes muito simpaticos e atenciosos e principalmente em especial ao josemberg  bruno e a raquel ,"Minha visita fiquei no bar e os atendentes são maravilhosos, simpáticos e em especial ao Josemberg. Tudo perfeito",NorthStar364898,"('minha experiencia             melhores     bebidas    comida          maravilhoso  permaneci    bar durante            visita     atendentes       simpaticos   atenciosos   principalmente    especial    josemberg  bruno     raquel ', {'entities': [(54, 60, 'COMIDA'), (43, 50, 'BEBIDA'), (130, 140, 'SERVIÇO'), (203, 212, 'SERVIÇO'), (214, 219, 'SERVIÇO'), (224, 230, 'SERVIÇO')]})",14.0
108944.0,Coco Bambu Brasília Shopping,0,5,2017-5-1,2017-5-4,restaurante maravilhoso  o forte são os frutos do mar  porém de novidade estão com um menu fit  com opções veganas deliciosas  experimentei o ratatuile e a moqueca de banana  ambos sensacionais  vale cada centavo e é muito bem servido ,Espetacular ,veronicaciteli,"('restaurante maravilhoso    forte        frutos    mar           novidade              menu fit      opções veganas deliciosas  experimentei   ratatuile     moqueca    banana  ambos sensacionais  vale      centavo               servido ', {'entities': [(0, 11, 'GERAL'), (40, 53, 'COMIDA'), (86, 94, 'COMIDA'), (142, 151, 'COMIDA'), (156, 173, 'COMIDA'), (200, 212, 'PREÇO')]})",15.0
74332.0,Coco Bambu Anhembi,1,5,2020-2-1,2020-2-29,muito bom o serviço  extremamente prestativo e educado  muito simpático e comunicativo  voltaremos em breve ,Happy Hour Cocobambu,naschettini,"('muito       serviço  extremamente prestativo   educado        simpático   comunicativo  voltaremos          ', {'entities': [(12, 19, 'SERVIÇO')]})",16.0
87329.0,Coco Bambu Anália Franco,1,5,2018-5-1,2018-5-15,atendimento muito bom   marlon  os pratos bem temperados  uma delícia  ambiente bonito e aconchegante  vale a vir ,Presente de aniversário,Laura C,"('atendimento             marlon     pratos     temperados      delícia  ambiente bonito   aconchegante  vale       ', {'entities': [(71, 79, 'AMBIENTE'), (35, 41, 'COMIDA'), (0, 11, 'SERVIÇO'), (24, 30, 'SERVIÇO')]})",17.0
53916.0,Coco Bambu Recife,2,5,2018-11-1,2018-11-25,super recomendo  comemos o camarão 4 queijos para duas pessoas  arroz com passas e batata palha feita na hora   um charme   o ambiente é bem bonito   música ambiente de qualidade  fomos super bem atendidos pelo henrique   os doces são uma atração a mais,Maravilhoso!!!!!,AlexandraMalfatti,"('super recomendo  comemos   camarão 4 queijos           pessoas  arroz     passas   batata palha                    charme     ambiente       bonito   música ambiente    qualidade        super     atendidos      henrique      doces         atração   mais', {'entities': [(126, 134, 'AMBIENTE'), (150, 165, 'AMBIENTE'), (27, 44, 'COMIDA'), (64, 80, 'COMIDA'), (83, 95, 'COMIDA'), (225, 230, 'COMIDA'), (211, 219, 'SERVIÇO')]})",18.0
179436.0,Coco Bambu Uberlândia,0,5,2019-7-1,2019-7-9,ótimo o restaurante  comida e atendimento exemplares   matheus ribeiro maetria aranildo  gerente gildo cardozo ,Sérgio Filho Garcia Paim,SergioFilhoG,"('ótimo   restaurante  comida   atendimento exemplares   matheus ribeiro maetria aranildo  gerente gildo cardozo ', {'entities': [(8, 19, 'GERAL'), (21, 27, 'COMIDA'), (30, 41, 'SERVIÇO'), (55, 70, 'SERVIÇO'), (71, 87, 'SERVIÇO'), (89, 110, 'SERVIÇO')]})",19.0
61520.0,Coco Bambu JK,0,5,2018-5-1,2018-5-19,o atendimento de rodrigo uchoa  exelente  a comida estava deliciosa e o ambiente agradavel  recomendamos,Jantar em Família,Rafaela A,"('o atendimento    rodrigo uchoa  exelente    comida        deliciosa     ambiente agradavel  recomendamos', {'entities': [(72, 80, 'AMBIENTE'), (44, 50, 'COMIDA'), (2, 13, 'SERVIÇO'), (17, 30, 'SERVIÇO')]})",20.0
109471.0,Coco Bambu Frutos do Mar,1,5,2019-7-1,2019-7-15,comida e atendimento pelo jeferson foram excelentes  os pratos são muito bons  o chopp bem gelado  ambiente muito agradável ,Jantar,Joao F,"('comida   atendimento      jeferson       excelentes     pratos                   chopp     gelado  ambiente       agradável ', {'entities': [(99, 107, 'AMBIENTE'), (0, 6, 'COMIDA'), (56, 62, 'COMIDA'), (81, 86, 'BEBIDA'), (9, 20, 'SERVIÇO'), (26, 34, 'SERVIÇO')]})",21.0
141222.0,Coco Bambu Lago Sul,0,5,2015-11-1,2016-3-16,os pratos são deliciosos é bem servidos  fomos dois casais pedimos dois pratos e sobrou muita comida  recomendo,Muito bom,Cristiane O,"('os pratos     deliciosos       servidos             casais pedimos      pratos   sobrou       comida  recomendo', {'entities': [(3, 9, 'COMIDA'), (72, 78, 'COMIDA'), (94, 100, 'COMIDA')]})",22.0
101370.0,Coco Bambu Sul Restaurante,0,5,2017-8-1,2017-8-26,comida boa  bons vinhos  agradeço  o atendimento  excelente  do garçom  sousa foi show  local que pretendo  voltar sempre,Comida boa e bons vinhos,Josete S,"('comida           vinhos  agradeço    atendimento  excelente     garçom  sousa     show  local     pretendo  voltar sempre', {'entities': [(88, 93, 'GERAL'), (0, 6, 'COMIDA'), (17, 23, 'BEBIDA'), (37, 48, 'SERVIÇO')]})",23.0
184733.0,Coco Bambu Restaurante,0,5,2022-4-1,2022-4-21,rogerio foi sensacional  atendimento excelente  ajudou a escolher o pedido e foi muito educado e simpatico,Avaliação,409mariaeduardag,"('rogerio     sensacional  atendimento excelente  ajudou   escolher   pedido             educado   simpatico', {'entities': [(0, 7, 'SERVIÇO'), (25, 36, 'SERVIÇO')]})",24.0
